ts,x,y,buttons,active_trial_id,dt_ms,vx,vy,speed_px_s,ax,ay,accel_px_s2,jerk_px_s3,heading_rad,dheading_rad,curv,dist_to_target,inside_target,target_trial_id,label,target_cx,target_cy,target_size
4572.0257183,615,437,0,6,16.926199999943492,-1595.1601659019827,945.280098312286,1854.208839140221,-49529.569281390664,38650.03743135392,62825.18306097593,4232975.695062898,2.6066375798036967,-0.1677812399678773,0.005345954823963281,148.69095466772686,0,6,P1_TARGET,493.0,522.0,46
4572.0431355,600,446,0,6,17.417199999727018,-861.2176469372286,516.7305881623371,1004.3437340565688,42138.94994466719,-24604.96004849606,48796.466689989495,6394520.794411282,2.601173153319209,-0.005464426484487639,0.0003123804702349612,131.24404748406687,0,6,P1_TARGET,493.0,522.0,46
4572.0588763,570,466,0,6,15.740799999548472,-1905.8751779363538,1270.5834519575692,2290.576892894526,-66366.228592517,47891.64869745226,81841.83717729217,8290284.902703187,2.5535900500422257,-0.04758310327698334,0.0013197178362374,95.2102935611481,0,6,P1_TARGET,493.0,522.0,46
4572.0771456,540,485,0,6,18.26930000061111,-1642.0990404118656,1039.996058927515,1943.7286490419215,14438.218077083677,-12621.577894190861,19177.235717917043,5525746.417480524,2.577023259921693,0.023433209879467398,0.0006598940902546621,59.81638571495272,0,6,P1_TARGET,493.0,522.0,46
4572.0918226,532,490,0,6,14.677000000119733,-545.0705184938842,340.66907405867755,642.7731233889516,74744.73815555168,-47647.81527990273,88640.22891943429,4751674.749091636,2.5829933382462307,0.005970078324537553,0.0006328270367481728,50.44799302251776,0,6,P1_TARGET,493.0,522.0,46
4572.1075404,524,495,0,6,15.717799999947601,-508.9770833085209,318.1106770678256,600.2100250727235,2296.341420903917,-1435.213388064944,2707.9552046959484,5467201.824236318,2.5829933382462307,0.0,0.0,41.10960958218893,0,6,P1_TARGET,493.0,522.0,46
4572.1235102,522,498,0,6,15.96979999976611,-125.2363836760192,187.85457551402882,225.7731014487843,24029.14874564001,-8156.401555166906,25375.714290817945,1424463.0999491916,2.158798930342464,-0.4241944079037667,0.11765036065093215,37.64306044943742,0,6,P1_TARGET,493.0,522.0,46
4572.139269,521,499,0,6,15.758800000185147,-63.45660837045024,63.45660837045024,89.7411961796888,3920.3350067799024,-7893.873083110202,8813.753957176008,1276145.8595727175,2.356194490192345,0.19739555984988089,0.13957973894596576,36.235341863986875,0,6,P1_TARGET,493.0,522.0,46
4572.155159,520,500,0,6,15.889999999672,-62.93266205290384,62.93266205290384,89.00022419145922,32.973336536011274,-32.973336536011274,46.63133972591943,551892.2688898606,2.356194490192345,0.0,0.0,34.828149534535996,0,6,P1_TARGET,493.0,522.0,46
4572.1703852,520,500,0,6,15.226200000142853,0.0,0.0,0.0,4133.182412703984,-4133.182412703984,5845.202623807924,380828.5247814689,2.356194490192345,0.0,0.0,34.828149534535996,0,6,P1_TARGET,493.0,522.0,46
4572.1856047,519,501,0,6,15.219500000057451,-65.70518085326228,65.70518085326228,92.92115788086052,-4317.170790959904,4317.170790959904,6105.4014836564775,785216.6041866874,2.356194490192345,0.0,0.0,33.421549934136806,0,6,P1_TARGET,493.0,522.0,46
4572.2016801,518,502,0,6,16.075399999863293,-62.206850218875054,62.206850218875054,87.97377125204484,217.62012978942812,-217.62012978942812,307.76133899360246,398942.6591378516,2.356194490192345,0.0,0.0,32.01562118716424,0,6,P1_TARGET,493.0,522.0,46
4572.2168827,517,503,0,6,15.202599999611266,-65.7782221478938,65.7782221478938,93.02445387034172,-234.91849611974703,234.91849611974703,332.22492326483757,42097.15853043589,2.356194490192345,0.0,0.0,30.610455730027933,0,6,P1_TARGET,493.0,522.0,46
4572.2249482,515,507,0,6,8.065500000157044,-247.96974768595348,495.93949537190696,554.4772121892631,-22588.993309095807,53333.49119281352,57919.978431731935,7143038.652640777,2.0344439357957027,-0.32175055439664213,0.07194561114291356,26.627053911388696,1,6,P1_TARGET,493.0,522.0,46
4572.2330143,515,507,0,6,8.066100000178267,0.0,0.0,0.0,30742.210942149635,-61484.42188429927,68741.67344528444,15695224.658178749,2.0344439357957027,0.0,0.0,26.627053911388696,1,6,P1_TARGET,493.0,522.0,46
4572.2474721,515,507,0,6,14.457799999945564,0.0,0.0,0.0,0.0,0.0,0.0,4754642.715042625,2.0344439357957027,0.0,0.0,26.627053911388696,1,6,P1_TARGET,493.0,522.0,46
4572.2581588,515,507,0,6,10.686700000405835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0344439357957027,0.0,0.0,26.627053911388696,1,6,P1_TARGET,493.0,522.0,46
4572.275648,515,508,0,6,17.489199999545235,0.0,57.17814422763778,57.17814422763778,0.0,3269.3401773165474,3269.3401773165474,186934.80418781642,1.5707963267948966,-0.46364760900080615,0.46364760900080615,26.076809620810597,1,6,P1_TARGET,493.0,522.0,46
4572.2915477,514,508,0,6,15.899699999863515,-62.89426844585647,0.0,62.89426844585647,-3955.689003339457,-3596.1775522889493,5346.023613745795,498346.533948479,3.141592653589793,1.5707963267948966,1.5707963267948966,25.238858928247925,1,6,P1_TARGET,493.0,522.0,46
